Car_ID,Brand,Model,Year,Color,Engine_Type,Transmission,Price,Quantity_In_Stock,Status,Price_Segment
C0111,Kia,Sportage,2016,Black,Petrol,Automatic,96742,17,Sold,Luxury
C0112,Nissan,Altima,2021,Red,Hybrid,Manual,46778,10,Sold,Executive
C0113,Toyota,RAV4,2024,White,Diesel,Automatic,35195,6,Available,Executive
C0114,Hyundai,Tucson,2024,Blue,Hybrid,Manual,63367,16,Available,Premium
C0115,Tesla,Model X,2015,Red,Electric,Manual,98106,17,Sold,Luxury
C0116,Tesla,Model X,2020,Black,Petrol,Automatic,43309,0,Reserved,
C0117,Toyota,Corolla,2016,Gray,Petrol,Manual,25746,14,Reserved,Entry-level
C0118,BMW,X5,2023,Red,Petrol,Automatic,77133,13,Sold,Luxury
C0119,Mercedes,GLA,2018,Black,Hybrid,Manual,23200,17,Available,Entry-level
C0120,Nissan,Qashqai,2016,Black,Petrol,Manual,56469,2,Reserved,Premium
C0121,Nissan,Sunny,2022,Silver,Diesel,Manual,62501,20,Reserved,Premium
C0122,Tesla,Model 3,2018,Blue,Petrol,Manual,85848,20,Available,Luxury
C0123,Mercedes,E-Class,2021,White,Petrol,Automatic,23631,19,Reserved,Entry-level
C0124,Nissan,Sunny,2015,Blue,Diesel,Manual,44875,18,Reserved,Executive
C0125,Tesla,Model S,2017,Silver,Electric,Automatic,35201,9,Available,Executive
C0126,Nissan,Sunny,2024,White,Electric,Automatic,67564,2,Sold,Premium
C0127,Toyota,Camry,2025,Red,Diesel,Manual,93219,3,Reserved,Luxury
C0128,Kia,Seltos,2019,Gray,Diesel,Manual,84135,12,Available,Luxury
C0129,Kia,Sportage,2016,Blue,Hybrid,Automatic,95883,15,Reserved,Luxury
C0130,Mercedes,GLA,2021,White,Hybrid,Automatic,48149,6,Available,Executive
C0131,Toyota,RAV4,2025,Blue,Electric,Automatic,61924,9,Sold,Premium
C0132,Hyundai,Sonata,2022,Silver,Electric,Automatic,58246,19,Reserved,Premium
C0133,Kia,Sportage,2020,Black,Diesel,Manual,20193,7,Reserved,Entry-level
C0134,Toyota,Camry,2016,Gray,Diesel,Automatic,51530,8,Sold,Premium
C0135,Mercedes,C-Class,2015,White,Hybrid,Automatic,55816,5,Sold,Premium
C0136,BMW,3 Series,2019,Gray,Petrol,Manual,84504,20,Sold,Luxury
C0137,BMW,X5,2016,Silver,Petrol,Manual,49660,12,Sold,Executive
C0138,Toyota,Camry,2024,Blue,Hybrid,Automatic,71116,7,Sold,Luxury
C0139,Tesla,Model 3,2019,White,Diesel,Automatic,63901,13,Available,Premium
C0140,BMW,X5,2025,Red,Hybrid,Manual,22543,11,Sold,Entry-level
C0141,Tesla,Model X,2022,Gray,Electric,Manual,49552,8,Reserved,Executive
C0142,Hyundai,Tucson,2016,Blue,Diesel,Automatic,39878,5,Available,Executive
C0143,BMW,X5,2019,Red,Electric,Manual,97300,4,Sold,Luxury
C0144,BMW,5 Series,2021,Black,Electric,Automatic,71068,7,Sold,Luxury
C0145,Mercedes,C-Class,2019,Blue,Petrol,Manual,89690,10,Sold,Luxury
C0146,Kia,Seltos,2024,White,Petrol,Manual,32150,14,Reserved,Executive
C0147,Mercedes,GLA,2018,White,Electric,Automatic,40102,13,Available,Executive
C0148,Toyota,RAV4,2015,Gray,Diesel,Manual,60714,13,Reserved,Premium
C0149,Nissan,Sunny,2016,White,Diesel,Manual,89010,18,Available,Luxury
C0150,Hyundai,Tucson,2017,Blue,Petrol,Manual,78555,10,Available,Luxury
C0151,Hyundai,Sonata,2017,Gray,Petrol,Manual,44911,6,Sold,Executive
C0152,Hyundai,Elantra,2022,Red,Hybrid,Automatic,18450,1,Sold,Entry-level
C0153,Kia,Cerato,2016,Black,Hybrid,Automatic,86495,15,Reserved,Luxury
C0154,Tesla,Model 3,2018,Silver,Petrol,Manual,41195,19,Reserved,Executive
C0155,Mercedes,C-Class,2022,Blue,Petrol,Automatic,15064,16,Available,Entry-level
C0156,Hyundai,Sonata,2015,Gray,Hybrid,Manual,22780,13,Available,Entry-level
C0157,Mercedes,E-Class,2024,Silver,Hybrid,Manual,54478,5,Available,Premium
C0158,Hyundai,Elantra,2018,White,Hybrid,Manual,15564,18,Reserved,Entry-level
C0159,Toyota,RAV4,2019,Black,Diesel,Automatic,37017,6,Sold,Executive
C0160,BMW,X5,2018,Red,Petrol,Manual,56410,20,Sold,Premium
C0161,Mercedes,C-Class,2016,Silver,Petrol,Manual,26413,8,Reserved,Entry-level
C0162,Nissan,Qashqai,2015,Gray,Electric,Manual,53009,7,Available,Premium
C0163,Tesla,Model X,2020,Gray,Diesel,Manual,46278,17,Reserved,Executive
C0164,Tesla,Model S,2023,White,Petrol,Automatic,42465,3,Available,Executive
C0165,Tesla,Model S,2016,Gray,Petrol,Manual,64280,17,Reserved,Premium
C0166,Tesla,Model X,2022,White,Petrol,Automatic,44421,9,Sold,Executive
C0167,Mercedes,GLA,2021,Silver,Hybrid,Automatic,56348,6,Available,Premium
C0168,Toyota,Camry,2019,Gray,Diesel,Manual,34744,20,Reserved,Executive
C0169,Toyota,Corolla,2023,White,Petrol,Manual,77946,1,Sold,Luxury
C0170,Toyota,Camry,2024,Black,Electric,Manual,25734,14,Sold,Entry-level
C0171,Tesla,Model X,2024,Red,Petrol,Automatic,23724,9,Reserved,Entry-level
C0172,Mercedes,C-Class,2015,Gray,Hybrid,Manual,25393,8,Sold,Entry-level
C0173,Toyota,Camry,2020,Blue,Petrol,Automatic,57345,10,Available,Premium
C0174,Toyota,Corolla,2025,White,Electric,Automatic,18522,12,Available,Entry-level
C0175,Nissan,Sunny,2024,Gray,Hybrid,Automatic,74816,19,Reserved,Luxury
C0176,BMW,3 Series,2022,Black,Hybrid,Manual,95525,6,Reserved,Luxury
C0177,BMW,5 Series,2021,Red,Petrol,Automatic,94367,8,Reserved,Luxury
C0178,Kia,Cerato,2025,White,Petrol,Automatic,77095,6,Sold,Luxury
C0179,Nissan,Sunny,2020,Gray,Petrol,Manual,43838,5,Reserved,Executive
C0180,Nissan,Sunny,2025,Blue,Electric,Manual,15713,19,Reserved,Entry-level
C0181,Tesla,Model S,2018,Red,Hybrid,Automatic,19270,16,Reserved,Entry-level
C0182,Kia,Cerato,2018,Silver,Diesel,Manual,94593,16,Available,Luxury
C0183,Mercedes,E-Class,2022,Red,Petrol,Automatic,40162,3,Available,Executive
C0184,Kia,Seltos,2015,White,Hybrid,Automatic,90026,6,Sold,Luxury
C0185,Hyundai,Tucson,2015,Gray,Electric,Automatic,22265,2,Available,Entry-level
C0186,BMW,X5,2016,Silver,Diesel,Automatic,95629,4,Available,Luxury
C0187,Hyundai,Tucson,2021,Black,Electric,Automatic,62336,20,Reserved,Premium
C0188,Toyota,Corolla,2018,Red,Diesel,Automatic,62763,8,Sold,Premium
C0189,BMW,3 Series,2020,Blue,Electric,Manual,66184,9,Available,Premium
C0190,BMW,5 Series,2023,Blue,Petrol,Manual,42304,9,Reserved,Executive
C0191,Nissan,Qashqai,2025,Gray,Petrol,Manual,42583,4,Available,Executive
C0192,Nissan,Sunny,2015,Gray,Diesel,Manual,92711,2,Sold,Luxury
C0193,Toyota,Camry,2020,Black,Petrol,Manual,91143,6,Available,Luxury
C0194,BMW,5 Series,2020,Red,Electric,Manual,47141,8,Reserved,Executive
C0195,Tesla,Model X,2020,Gray,Diesel,Manual,36872,2,Available,Executive
C0196,Hyundai,Elantra,2021,Red,Petrol,Automatic,44101,14,Available,Executive
C0197,Toyota,Camry,2021,Black,Petrol,Automatic,85572,18,Available,Luxury
C0198,Tesla,Model X,2022,White,Hybrid,Automatic,35440,12,Available,Executive
C0199,Hyundai,Elantra,2025,Silver,Diesel,Manual,42536,4,Sold,Executive
C0200,Toyota,Corolla,2022,Gray,Petrol,Manual,71250,20,Available,Luxury
C0201,Toyota,Camry,2023,Red,Hybrid,Automatic,57000,17,Available,Premium
C0202,Mercedes,C-Class,2018,Blue,Diesel,Automatic,35183,8,Sold,Executive
C0203,Kia,Cerato,2025,Silver,Hybrid,Manual,26695,0,Reserved,
C0204,Tesla,Model S,2019,Blue,Electric,Manual,19232,17,Reserved,Entry-level
C0205,Mercedes,GLA,2018,Black,Electric,Manual,91064,9,Sold,Luxury
C0206,Kia,Sportage,2019,Black,Petrol,Manual,95802,1,Reserved,Luxury
C0207,Nissan,Sunny,2022,Red,Petrol,Manual,36900,8,Available,Executive
C0208,BMW,3 Series,2024,Blue,Electric,Automatic,43450,12,Reserved,Executive
C0209,Mercedes,GLA,2023,White,Electric,Manual,49027,20,Sold,Executive
C0210,Tesla,Model S,2016,Gray,Electric,Automatic,74917,13,Available,Luxury
C0211,Toyota,Camry,2018,Black,Diesel,Automatic,68208,18,Sold,Premium
C0212,Kia,Cerato,2016,Silver,Electric,Automatic,29138,1,Available,Entry-level
C0213,Toyota,Corolla,2018,Red,Electric,Automatic,86748,8,Available,Luxury
C0214,Toyota,RAV4,2023,Black,Diesel,Automatic,64961,6,Sold,Premium
C0215,Kia,Cerato,2024,Silver,Electric,Manual,56253,20,Sold,Premium
C0216,BMW,5 Series,2025,Blue,Hybrid,Automatic,66994,20,Available,Premium
C0217,Kia,Seltos,2025,Silver,Electric,Manual,54557,6,Reserved,Premium
C0218,Kia,Sportage,2018,Blue,Electric,Automatic,18999,10,Available,Entry-level
C0219,Mercedes,GLA,2020,Red,Diesel,Automatic,36444,2,Available,Executive
C0220,Toyota,Camry,2021,White,Petrol,Manual,27036,0,Sold,
C0221,Toyota,Camry,2016,White,Diesel,Automatic,32321,14,Sold,Executive
C0222,Tesla,Model S,2020,Red,Diesel,Automatic,35547,0,Available,
C0223,Tesla,Model S,2020,White,Petrol,Manual,66031,5,Reserved,Premium
C0224,BMW,5 Series,2022,Black,Electric,Manual,17317,19,Available,Entry-level
C0225,Tesla,Model S,2019,Blue,Petrol,Automatic,30317,18,Sold,Executive
C0226,Mercedes,GLA,2016,White,Diesel,Manual,73197,6,Available,Luxury
C0227,BMW,3 Series,2015,White,Hybrid,Automatic,33512,10,Reserved,Executive
C0228,Toyota,Corolla,2021,Gray,Petrol,Manual,80597,0,Sold,
C0229,Kia,Cerato,2022,Black,Petrol,Manual,49690,18,Available,Executive
C0230,BMW,3 Series,2016,Blue,Hybrid,Automatic,75684,17,Reserved,Luxury
C0231,Toyota,Camry,2024,White,Petrol,Manual,41319,17,Available,Executive
C0232,Mercedes,GLA,2018,Gray,Diesel,Automatic,93985,17,Reserved,Luxury
C0233,Toyota,Corolla,2016,Blue,Electric,Automatic,34357,15,Available,Executive
C0234,Nissan,Qashqai,2022,Gray,Diesel,Automatic,78321,11,Available,Luxury
C0235,Kia,Seltos,2024,Silver,Petrol,Automatic,40426,2,Sold,Executive
C0236,Mercedes,GLA,2019,Silver,Electric,Manual,99664,14,Sold,Luxury
C0237,Mercedes,GLA,2018,Blue,Hybrid,Manual,92693,6,Reserved,Luxury
C0238,BMW,5 Series,2022,Gray,Electric,Automatic,23452,16,Available,Entry-level
C0239,Toyota,Camry,2019,Blue,Electric,Automatic,84198,14,Available,Luxury
C0240,BMW,5 Series,2025,Silver,Electric,Manual,56337,0,Sold,
C0241,Toyota,RAV4,2018,Red,Hybrid,Automatic,48576,10,Available,Executive
C0242,Tesla,Model X,2018,Red,Petrol,Automatic,68211,0,Available,
C0243,Tesla,Model S,2018,Silver,Hybrid,Automatic,63693,3,Reserved,Premium
C0244,Tesla,Model X,2025,Blue,Hybrid,Manual,67287,4,Available,Premium
C0245,Mercedes,E-Class,2021,Black,Diesel,Automatic,59861,16,Available,Premium
C0246,Mercedes,C-Class,2015,Black,Hybrid,Manual,70410,20,Available,Luxury
C0247,Mercedes,GLA,2022,Blue,Petrol,Automatic,45148,2,Available,Executive
C0248,Nissan,Qashqai,2016,Gray,Hybrid,Manual,72387,14,Reserved,Luxury
C0249,Hyundai,Tucson,2021,White,Petrol,Manual,65307,16,Available,Premium
C0250,Nissan,Qashqai,2020,Gray,Diesel,Automatic,80443,12,Available,Luxury
C0251,Hyundai,Sonata,2017,Red,Hybrid,Manual,77126,5,Available,Luxury
C0252,Kia,Seltos,2015,Blue,Electric,Manual,65579,4,Available,Premium
C0253,Nissan,Sunny,2023,Red,Petrol,Automatic,40904,14,Reserved,Executive
C0254,BMW,X5,2025,Blue,Diesel,Automatic,34443,10,Reserved,Executive
C0255,BMW,5 Series,2025,Black,Petrol,Automatic,16073,0,Reserved,
C0256,Nissan,Qashqai,2019,Gray,Diesel,Manual,69403,19,Available,Premium
C0257,BMW,3 Series,2024,Blue,Diesel,Manual,36852,3,Sold,Executive
C0258,Toyota,Corolla,2023,Black,Electric,Automatic,76451,0,Available,
C0259,Kia,Sportage,2024,Black,Diesel,Manual,15433,0,Available,
C0260,Tesla,Model S,2024,Black,Hybrid,Automatic,75765,2,Sold,Luxury
C0261,Tesla,Model X,2022,Silver,Hybrid,Automatic,60188,19,Reserved,Premium
C0262,Nissan,Sunny,2017,Red,Diesel,Automatic,15732,20,Reserved,Entry-level
C0263,Hyundai,Sonata,2022,White,Hybrid,Manual,82694,16,Sold,Luxury
C0264,Tesla,Model 3,2019,Silver,Hybrid,Manual,70040,6,Reserved,Luxury
C0265,Kia,Seltos,2018,Gray,Petrol,Manual,29781,13,Reserved,Entry-level
C0266,Tesla,Model X,2020,White,Hybrid,Automatic,24743,0,Available,
C0267,BMW,X5,2024,White,Electric,Manual,40159,0,Sold,
C0268,BMW,5 Series,2022,White,Electric,Manual,77898,1,Available,Luxury
C0269,Nissan,Qashqai,2015,Gray,Electric,Automatic,52804,11,Available,Premium
C0270,Tesla,Model 3,2024,Black,Electric,Manual,76671,3,Reserved,Luxury
C0271,Nissan,Qashqai,2016,Gray,Diesel,Automatic,60403,20,Sold,Premium
C0272,BMW,X5,2025,Gray,Electric,Manual,36262,13,Sold,Executive
C0273,Mercedes,GLA,2019,Silver,Hybrid,Automatic,97570,16,Available,Luxury
C0274,Nissan,Altima,2015,Silver,Electric,Manual,94691,17,Sold,Luxury
C0275,BMW,3 Series,2017,Silver,Electric,Manual,44753,11,Sold,Executive
C0276,Nissan,Sunny,2025,Blue,Petrol,Automatic,50703,4,Reserved,Premium
C0277,Nissan,Qashqai,2016,White,Hybrid,Automatic,34256,2,Available,Executive
C0278,Nissan,Altima,2016,Silver,Petrol,Manual,84962,2,Sold,Luxury
C0279,Kia,Seltos,2015,Red,Electric,Automatic,85933,18,Sold,Luxury
C0280,Tesla,Model 3,2015,Blue,Electric,Automatic,15391,18,Reserved,Entry-level
C0281,Tesla,Model S,2020,Black,Petrol,Manual,64086,0,Sold,
C0282,Mercedes,E-Class,2017,Blue,Hybrid,Automatic,68813,14,Reserved,Premium
C0283,Toyota,Camry,2022,White,Hybrid,Manual,28195,17,Sold,Entry-level
C0284,Mercedes,C-Class,2022,Blue,Electric,Automatic,51668,9,Reserved,Premium
C0285,Kia,Cerato,2017,White,Diesel,Manual,16765,19,Sold,Entry-level
C0286,Nissan,Sunny,2025,Silver,Hybrid,Manual,59081,7,Sold,Premium
C0287,Hyundai,Sonata,2024,Gray,Diesel,Automatic,52823,0,Sold,
C0288,BMW,3 Series,2018,Black,Diesel,Automatic,79631,14,Sold,Luxury
C0289,Tesla,Model 3,2025,White,Diesel,Automatic,29873,17,Reserved,Entry-level
C0290,Mercedes,GLA,2022,Blue,Diesel,Automatic,99707,19,Available,Luxury
C0291,Kia,Sportage,2018,Silver,Diesel,Manual,76715,11,Sold,Luxury
C0292,Hyundai,Elantra,2022,Blue,Diesel,Automatic,79140,9,Sold,Luxury
C0293,BMW,3 Series,2015,White,Electric,Automatic,69115,16,Available,Premium
C0294,Nissan,Sunny,2020,Silver,Electric,Automatic,50422,13,Reserved,Premium
C0295,Hyundai,Elantra,2025,Blue,Hybrid,Manual,97630,9,Sold,Luxury
C0296,Nissan,Qashqai,2019,White,Petrol,Automatic,36489,4,Available,Executive
C0297,Hyundai,Tucson,2023,Blue,Electric,Manual,83332,1,Reserved,Luxury
C0298,Kia,Seltos,2017,Red,Diesel,Automatic,80850,4,Available,Luxury
C0299,Tesla,Model S,2024,White,Electric,Automatic,53359,19,Sold,Premium
C0300,Mercedes,C-Class,2015,Silver,Electric,Manual,84003,10,Sold,Luxury
C0301,BMW,X5,2022,Black,Petrol,Automatic,86539,17,Available,Luxury
C0302,Mercedes,C-Class,2022,Black,Electric,Automatic,78238,14,Sold,Luxury
C0303,Tesla,Model X,2020,White,Hybrid,Manual,41005,8,Reserved,Executive
C0304,BMW,5 Series,2017,Silver,Petrol,Manual,44558,16,Available,Executive
C0305,Nissan,Altima,2018,Black,Petrol,Manual,68741,15,Sold,Premium
C0306,Nissan,Qashqai,2021,Blue,Diesel,Manual,80288,0,Sold,
C0307,Kia,Cerato,2023,Red,Diesel,Manual,18650,19,Sold,Entry-level
C0308,BMW,5 Series,2023,Black,Hybrid,Manual,54084,11,Sold,Premium
C0309,Toyota,Camry,2018,Gray,Hybrid,Manual,19202,15,Available,Entry-level
C0310,Hyundai,Elantra,2018,White,Petrol,Automatic,97892,5,Available,Luxury
C0311,Toyota,Corolla,2015,White,Hybrid,Automatic,45662,15,Sold,Executive
C0312,Hyundai,Elantra,2022,Black,Petrol,Manual,93641,6,Available,Luxury
C0313,Toyota,Camry,2023,Red,Petrol,Manual,66822,16,Sold,Premium
C0314,Tesla,Model X,2015,Red,Electric,Manual,34144,20,Reserved,Executive
C0315,Mercedes,E-Class,2016,White,Diesel,Manual,49991,3,Reserved,Executive
C0316,Toyota,RAV4,2024,Silver,Petrol,Manual,65719,5,Available,Premium
C0317,Toyota,Camry,2025,Gray,Petrol,Automatic,94065,6,Available,Luxury
C0318,Mercedes,C-Class,2021,Black,Hybrid,Manual,44875,2,Sold,Executive
C0319,Mercedes,C-Class,2023,Silver,Diesel,Automatic,52256,15,Available,Premium
C0320,Kia,Cerato,2018,Blue,Diesel,Manual,24694,12,Sold,Entry-level
C0321,Mercedes,C-Class,2025,Red,Hybrid,Manual,72244,15,Available,Luxury
C0322,Mercedes,GLA,2024,White,Electric,Manual,76945,9,Available,Luxury
C0323,Kia,Sportage,2021,Gray,Electric,Manual,58061,12,Sold,Premium
C0324,Nissan,Sunny,2017,White,Petrol,Automatic,49935,11,Sold,Executive
